"Año","Provincia","Media_Horas","Total_Incendios"
"2015","Almería",15,65
"2015","Cádiz",8.7,67
"2015","Córdoba",5.2,85
"2015","Granada",7.6,109
"2015","Huelva",8,126
"2015","Jaén",11,149
"2015","Málaga",8.7,83
"2015","Sevilla",5.5,133
"2016","Almería",16,63
"2016","Cádiz",7.2,80
"2016","Córdoba",4.2,63
"2016","Granada",7.2,120
"2016","Huelva",5.7,98
"2016","Jaén",4.9,124
"2016","Málaga",9.1,71
"2016","Sevilla",9.2,119
"2017","Almería",13.4,52
"2017","Cádiz",5,107
"2017","Córdoba",6.9,87
"2017","Granada",7.8,127
"2017","Huelva",11.4,162
"2017","Jaén",11,167
"2017","Málaga",9.2,97
"2017","Sevilla",13.6,127
"2018","Almería",18.4,87
"2018","Cádiz",12.5,92
"2018","Córdoba",10.2,77
"2018","Granada",5.7,88
"2018","Huelva",6.9,124
"2018","Jaén",4.5,79
"2018","Málaga",7.2,55
"2018","Sevilla",9,65
"2019","Almería",18.4,54
"2019","Cádiz",8.1,100
"2019","Córdoba",11.6,106
"2019","Granada",7.7,112
"2019","Huelva",7.4,205
"2019","Jaén",4.8,101
"2019","Málaga",9.6,104
"2019","Sevilla",9.7,113
"2020","Almería",9.7,70
"2020","Cádiz",12.6,77
"2020","Córdoba",7.7,88
"2020","Granada",8.4,104
"2020","Huelva",9.9,118
"2020","Jaén",8.5,110
"2020","Málaga",9.6,73
"2020","Sevilla",9.7,100
"2021","Almería",9.8,83
"2021","Cádiz",10.4,96
"2021","Córdoba",13.3,95
"2021","Granada",10.3,84
"2021","Huelva",6.5,170
"2021","Jaén",5.9,86
"2021","Málaga",13.3,70
"2021","Sevilla",10.8,130
